description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"Fish, mackerel, NFS",Survey (FNDDS),133.0,1.95,17.49,6.34,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mullet",Survey (FNDDS),240.0,1.87,13.02,20.26,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, NFS",Survey (FNDDS),51.0,0.6,11.88,0.24,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Survey (FNDDS),65.0,0.86,15.05,0.14,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",Survey (FNDDS),50.0,0.48,11.66,0.27,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, NS as to type, baked or broiled",Survey (FNDDS),53.0,2.61,9.71,0.61,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, NS as to type, baked or broiled, coated",Survey (FNDDS),66.0,2.32,11.98,1.1,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, NS as to type, fried",Survey (FNDDS),66.0,2.32,11.98,1.1,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, NS as to type, steamed",Survey (FNDDS),79.0,7.35,10.04,1.24,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, perch, baked or broiled",Survey (FNDDS),54.0,0.61,12.67,0.35,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, perch, baked or broiled, coated",Survey (FNDDS),76.0,6.23,12.2,0.44,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, perch, fried",Survey (FNDDS),60.0,1.45,11.56,1.06,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, perch, grilled",Survey (FNDDS),133.0,1.41,20.12,6.69,2.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, perch, NFS",Survey (FNDDS),68.0,0.68,16.24,0.21,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, perch, steamed",Survey (FNDDS),63.0,0.56,15.32,0.24,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, pickled",Survey (FNDDS),163.0,2.56,29.99,3.67,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, pike",Survey (FNDDS),124.0,3.67,23.11,1.87,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, pompano, baked or broiled",Survey (FNDDS),166.0,1.5,33.59,2.99,3.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, pompano, baked or broiled, coated",Survey (FNDDS),353.0,7.87,43.49,16.57,1.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, pompano, fried",Survey (FNDDS),380.0,5.84,55.18,15.7,0.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, pompano, grilled",Survey (FNDDS),107.0,0.57,16.17,0.28,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, pompano, NFS",Survey (FNDDS),349.0,8.34,41.64,16.58,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, pompano, steamed",Survey (FNDDS),350.0,8.36,41.72,16.61,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon cake or patty",Survey (FNDDS),349.0,8.34,41.64,16.58,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon, baked or broiled",Survey (FNDDS),339.0,11.41,34.21,17.34,2.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon, baked or broiled, coated",Survey (FNDDS),343.0,10.36,36.86,17.1,2.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon, canned",Survey (FNDDS),351.0,8.76,41.06,16.8,2.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon, fried",Survey (FNDDS),351.0,8.78,41.14,16.83,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, salmon, grilled",Survey (FNDDS),142.0,6.58,28.03,0.38,2.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, salmon, NFS",Survey (FNDDS),82.0,10.39,8.74,0.41,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, salmon, smoked",Survey (FNDDS),60.0,1.22,14.19,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, salmon, steamed",Survey (FNDDS),56.0,1.1,13.34,0.01,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, sardines, canned",Survey (FNDDS),20.0,0.83,4.22,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, shark",Survey (FNDDS),22.0,0.77,4.86,0.01,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, smoked",Survey (FNDDS),61.0,1.47,14.02,0.02,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, snapper",Survey (FNDDS),102.0,0.24,2.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, stick",Survey (FNDDS),251.0,4.72,19.78,16.98,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, swordfish",Survey (FNDDS),249.0,3.5,22.29,16.2,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, tilapia, baked or broiled",Survey (FNDDS),295.0,12.9,23.99,16.36,0.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, tilapia, baked or broiled, coated",Survey (FNDDS),188.0,0.1,5.08,0.03,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, tilapia, fried",Survey (FNDDS),231.0,0.0,0.0,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, tilapia, grilled",Survey (FNDDS),84.0,0.0,6.57,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, tilapia, NFS",Survey (FNDDS),66.0,0.03,2.22,0.01,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, tilapia, steamed",Survey (FNDDS),20.0,0.33,4.83,0.1,2.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, tofu, and vegetables, tempura",Survey (FNDDS),96.0,0.1,6.24,0.14,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, trout, baked or broiled",Survey (FNDDS),178.0,8.51,9.38,11.96,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, trout, baked or broiled, coated",Survey (FNDDS),135.0,2.44,17.2,6.33,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, trout, fried",Survey (FNDDS),142.0,26.88,0.0,3.01,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, trout, grilled",Survey (FNDDS),69.0,3.56,4.45,4.14,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, trout, NFS",Survey (FNDDS),224.0,12.94,1.27,18.09,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, trout, steamed",Survey (FNDDS),304.0,25.06,0.0,21.83,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, tuna, canned",Survey (FNDDS),324.0,10.65,22.39,21.59,1.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, tuna, cooked",Survey (FNDDS),296.0,16.99,13.12,19.36,1.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, tuna, NFS",Survey (FNDDS),252.0,11.41,16.64,15.59,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, white, mixed species, baked or broiled",Survey (FNDDS),207.0,5.83,20.17,11.81,2.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, white, mixed species, baked or broiled, coated",Survey (FNDDS),260.0,3.85,37.2,11.19,2.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, white, mixed species, fried",Survey (FNDDS),430.0,6.69,77.66,10.6,3.4,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Fish, white, mixed species, grilled",Survey (FNDDS),430.0,6.69,77.66,10.6,3.4,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Fish, white, mixed species, NFS",Survey (FNDDS),500.0,4.0,66.78,25.8,2.2,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Fish, white, mixed species, steamed",Survey (FNDDS),386.0,5.71,77.96,5.71,5.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, whiting, baked or broiled",Survey (FNDDS),483.0,4.5,72.1,20.0,1.5,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Fish, whiting, baked or broiled, coated",Survey (FNDDS),23.0,0.06,5.51,0.1,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, whiting, fried",Survey (FNDDS),66.0,0.18,15.73,0.28,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, whiting, grilled",Survey (FNDDS),62.0,0.37,14.77,0.13,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, whiting, NFS",Survey (FNDDS),168.0,2.28,13.88,11.95,3.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, whiting, steamed",Survey (FNDDS),40.0,0.56,8.35,0.48,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flan,Survey (FNDDS),39.0,0.5,9.2,0.1,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flavored pasta,Survey (FNDDS),40.0,0.56,8.35,0.48,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flavored rice and pasta mixture,Survey (FNDDS),39.0,0.51,7.74,0.68,0.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Flavored rice and pasta mixture, reduced sodium",Survey (FNDDS),36.0,0.58,9.15,0.1,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flavored rice mixture,Survey (FNDDS),53.0,3.75,4.81,2.36,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flavored rice mixture with cheese,Survey (FNDDS),53.0,3.75,4.81,2.36,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Flavored rice, brown and wild",Survey (FNDDS),57.0,0.31,11.24,1.05,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flax seeds,Survey (FNDDS),46.0,0.82,9.82,0.29,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flaxseed oil,Survey (FNDDS),53.0,3.75,4.81,2.36,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Flounder with crab stuffing,Survey (FNDDS),48.0,0.71,5.29,2.62,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Flowers or blossoms of sesbania, squash, or lily, cooked",Survey (FNDDS),48.0,0.71,5.29,2.62,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fluid replacement, 5% glucose in water",Survey (FNDDS),144.0,3.84,9.21,10.2,0.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fluid replacement, electrolyte solution",Survey (FNDDS),48.0,2.75,4.35,2.26,1.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Focaccia, Italian, plain",Survey (FNDDS),56.0,1.96,7.05,2.21,1.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frankfurters or hot dogs and sauerkraut,Survey (FNDDS),43.0,1.03,4.0,2.57,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frankfurters or hot dogs with tomato-based sauce,Survey (FNDDS),50.0,1.01,3.99,3.29,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Freezer pop,Survey (FNDDS),46.0,1.02,4.0,2.93,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
French dip sandwich,Survey (FNDDS),24.0,1.04,4.11,0.39,1.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
French or Catalina dressing,Survey (FNDDS),41.0,1.1,4.2,2.64,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French or Catalina dressing, fat free",Survey (FNDDS),48.0,1.09,4.19,3.36,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French or Catalina dressing, light",Survey (FNDDS),44.0,1.1,4.2,3.0,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
French toast sticks,Survey (FNDDS),22.0,1.12,4.32,0.46,1.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast sticks, fast food / restaurant",Survey (FNDDS),42.0,2.05,7.72,0.29,3.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast sticks, school",Survey (FNDDS),78.0,1.96,7.32,4.6,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, fast food / restaurant",Survey (FNDDS),106.0,2.54,8.37,6.96,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, frozen",Survey (FNDDS),61.0,2.0,7.48,2.56,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, gluten free",Survey (FNDDS),68.0,1.99,7.47,3.31,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, NFS",Survey (FNDDS),64.0,2.0,7.48,2.93,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, plain",Survey (FNDDS),42.0,2.05,7.7,0.29,3.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, school",Survey (FNDDS),47.0,1.46,6.26,2.35,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"French toast, whole grain",Survey (FNDDS),53.0,1.44,6.24,3.07,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frescavena,Survey (FNDDS),50.0,1.45,6.25,2.71,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried broccoli,Survey (FNDDS),28.0,1.49,6.43,0.17,3.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried cauliflower,Survey (FNDDS),55.0,1.51,5.74,2.93,2.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried eggplant,Survey (FNDDS),54.0,1.63,11.0,0.25,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fried fish with sauce, Puerto Rican style",Survey (FNDDS),86.0,4.36,11.04,2.97,4.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried green beans,Survey (FNDDS),92.0,4.34,11.03,3.69,4.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried green tomatoes,Survey (FNDDS),89.0,4.35,11.03,3.33,4.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried mushrooms,Survey (FNDDS),68.0,4.47,11.36,0.8,4.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried okra,Survey (FNDDS),89.0,3.89,11.85,3.11,4.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried onion rings,Survey (FNDDS),97.0,3.87,11.83,4.0,4.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fried seafood sandwich,Survey (FNDDS),93.0,3.88,11.84,3.56,4.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fried stuffed potatoes, Puerto Rican style",Survey (FNDDS),66.0,3.99,12.19,0.38,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fried summer squash, yellow or green",Survey (FNDDS),119.0,5.37,14.28,4.72,5.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frito pie,Survey (FNDDS),102.0,5.48,14.58,2.68,5.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fritter, corn",Survey (FNDDS),109.0,5.46,14.57,3.43,5.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fritter, fruit",Survey (FNDDS),106.0,5.47,14.58,3.06,5.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fritter, plain",Survey (FNDDS),95.0,5.0,13.82,2.45,4.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frog legs,Survey (FNDDS),102.0,4.99,13.8,3.17,4.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frozen coffee drink,Survey (FNDDS),98.0,4.99,13.81,2.81,4.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, decaffeinated",Survey (FNDDS),78.0,5.14,14.22,0.27,4.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, decaffeinated, nonfat",Survey (FNDDS),98.0,4.99,13.81,2.81,4.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",Survey (FNDDS),25.0,0.77,5.14,0.12,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, decaffeinated, with non-dairy milk",Survey (FNDDS),358.0,13.16,26.97,22.82,1.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",Survey (FNDDS),47.0,4.91,4.68,1.41,3.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, decaffeinated, with whipped cream",Survey (FNDDS),41.0,1.32,2.71,2.82,1.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, nonfat",Survey (FNDDS),58.0,2.89,5.02,3.4,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, nonfat, with whipped cream",Survey (FNDDS),37.0,2.97,5.16,0.97,4.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, with non-dairy milk",Survey (FNDDS),59.0,2.84,5.59,3.24,2.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, with non-dairy milk and whipped cream",Survey (FNDDS),37.0,2.92,5.75,0.71,2.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen coffee drink, with whipped cream",Survey (FNDDS),58.0,2.89,5.02,3.4,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frozen daiquiri,Survey (FNDDS),87.0,0.42,6.28,0.36,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen dessert, non-dairy",Survey (FNDDS),341.0,12.05,26.13,20.98,2.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen dinner, NFS",Survey (FNDDS),343.0,11.03,28.09,20.78,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Frozen fruit juice bar,Survey (FNDDS),366.0,14.4,24.42,23.46,2.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen fruit juice bar, no sugar added",Survey (FNDDS),368.0,13.38,26.38,23.26,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Frozen margarita,Survey (FNDDS),343.0,11.03,28.09,20.78,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Frozen mocha coffee drink,Survey (FNDDS),305.0,12.34,27.38,16.25,2.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen mocha coffee drink, decaffeinated",Survey (FNDDS),307.0,11.32,29.33,16.05,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen mocha coffee drink, decaffeinated, nonfat",Survey (FNDDS),85.0,1.36,14.36,2.85,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",Survey (FNDDS),65.0,1.38,14.84,0.4,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",Survey (FNDDS),85.0,1.36,14.36,2.85,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, decaffeinated, with whipped cream",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, nonfat",Survey (FNDDS),58.0,1.2,12.41,0.28,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, nonfat, with whipped cream",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, with non-dairy milk",Survey (FNDDS),108.0,3.56,11.36,5.28,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",Survey (FNDDS),97.0,3.6,11.54,3.92,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen mocha coffee drink, with whipped cream",Survey (FNDDS),108.0,3.56,11.36,5.28,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt bar, chocolate",Survey (FNDDS),159.0,28.08,0.0,4.34,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Frozen yogurt bar, vanilla",Survey (FNDDS),48.0,0.3,13.3,0.07,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt cone, chocolate",Survey (FNDDS),292.0,0.1,72.56,0.27,1.1,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Frozen yogurt cone, chocolate, waffle cone",Survey (FNDDS),115.0,10.85,2.52,6.62,0.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt cone, vanilla",Survey (FNDDS),118.0,10.31,2.52,7.09,0.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt cone, vanilla, waffle cone",Survey (FNDDS),89.0,8.16,6.55,3.43,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Frozen yogurt sandwich,Survey (FNDDS),83.0,8.54,4.03,3.68,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt, chocolate",Survey (FNDDS),184.0,11.24,18.78,6.76,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Frozen yogurt, NFS",Survey (FNDDS),117.0,19.04,1.58,3.87,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Frozen yogurt, soft serve, chocolate",Survey (FNDDS),139.0,6.81,15.32,5.44,0.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Frozen yogurt, soft serve, vanilla",Survey (FNDDS),144.0,7.15,15.88,5.54,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Frozen yogurt, vanilla",Survey (FNDDS),136.0,5.37,16.28,5.19,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fruit and vegetable smoothie, added protein",Survey (FNDDS),120.0,7.56,5.12,7.83,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fruit and vegetable smoothie, bottled",Survey (FNDDS),115.0,7.45,2.59,8.28,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fruit and vegetable smoothie, no dairy",Survey (FNDDS),322.0,11.56,28.24,18.1,1.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fruit and vegetable smoothie, non-dairy",Survey (FNDDS),273.0,17.97,2.6,20.74,0.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
